Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
  143    0 0xffffff7f990b3000 0xa000     0xa000     com.apple.driver.BridgeAudioCommunication (240.6) 1D7AB06B-6CBF-3630-AB54-5CD77692D776 <78 9 7 6 3 1>
  144    2 0xffffff7f97824000 0xc6000    0xc6000    com.apple.kext.AMDSupport (4.0.8) AD6B16DB-AD31-399F-BCD5-F0AEA6E2F5A9 <120 119 16 15 9 7 6 3 1>
  145    0 0xffffff7f80f7f000 0x65000    0x65000    com.apple.kext.AMD9500Controller (4.0.8) CEA1530C-6F58-33DE-B152-7A188FA3233D <144 120 119 16 15 7 6 3 1>
  146    0 0xffffff7f979fa000 0xd000     0xd000     com.apple.driver.AppleDiskImages2 (126.141.2) B1DE74F0-A87E-38EA-BBBF-C1EB2DBF694E <33 8 7 6 3 1>
  147    0 0xffffff7f97d91000 0x14000    0x14000    com.apple.driver.AppleHV (1) CC1510CB-572C-3C88-AF2D-8FD5CB17DAE1 <42 9 8 7 6 3 1>
  148    0 0xffffff7f97da9000 0x4000     0x4000     com.apple.driver.AppleIPAppender (1.0) 8F7EB240-5BE8-399A-A245-9E03197C84C3 <72 49 9 8 7 6 3 1>
  149    0 0xffffff7f990cf000 0x1000     0x1000     com.apple.iokit.BroadcomBluetooth20703USBTransport (9.0.0) 10566E34-BEE5-3D39-9018-D58DFF23691E <9 8 7 6 3>
  150    0 0xffffff7f990d2000 0x1000     0x1000     com.apple.iokit.BroadcomBluetoothHostControllerUSBTransport (9.0.0) CD6C400D-B0E3-3C5D-82ED-7B30606EA094 <9 8 7 6 3>
  151    0 0xffffff7f990d5000 0x1000     0x1000     com.apple.iokit.CSRBluetoothHostControllerUSBTransport (9.0.0) 3C58AE06-3EA0-3A7A-B97C-1C107E7899F9 <9 8 7 6 3>
  152    1 0xffffff8002e17000 0x2000     0x2000     com.apple.iokit.IOEthernetAVBController (1.1.0) 40B7E849-7F49-377D-9467-15A9DEB75356 <49 7 6 3 1>
  153    1 0xffffff7f993f9000 0x67000    0x67000    com.apple.plugin.IOgPTPPlugin (1040.3) 2727E98F-FF6A-3C6C-89AC-9F62DC248CAF <72 54 50 49 12 8 7 6 3 1>
  154    0 0xffffff7f99133000 0x13000    0x13000    com.apple.iokit.IOAVBFamily (1040.6) D0BCC969-79A0-3F22-BC89-F0610544C566 <153 152 50 49 8 7 6 3 1>
  155    0 0xffffff7f99254000 0x1000     0x1000     com.apple.driver.IOBluetoothHostControllerPCIeTransport (9.0.0) 0F597B10-59F7-3B18-B4BB-D0D68A1E8D99 <9 8 7 6 3>
  156    0 0xffffff7f99257000 0x1000     0x1000     com.apple.iokit.IOBluetoothHostControllerTransport (9.0.0) DA39898A-715F-3B9B-AD83-1C850162A063 <9 8 7 6 3>
  157    0 0xffffff7f9925a000 0x1000     0x1000     com.apple.iokit.IOBluetoothHostControllerUARTTransport (9.0.0) F21E7E36-BA1A-373B-872D-71697ADB020F <9 8 7 6 3>
  158    0 0xffffff7f9925d000 0x1000     0x1000     com.apple.iokit.IOBluetoothHostControllerUSBTransport (9.0.0) 0292552B-25FB-3705-B5CB-106716756870 <9 8 7 6 3>
  159    0 0xffffff7f99260000 0x1000     0x1000     com.apple.iokit.IOBluetoothPacketLogger (9.0.0) 52DB597E-E3EF-3A63-8285-8CBBBAB6DB16 <9 8 7 6 3>
  160    0 0xffffff7f99263000 0x1000     0x1000     com.apple.iokit.IOBluetoothSerialManager (9.0.0) F414A234-E6E2-3AFF-B17A-E135C1CB263F <9 8 7 6 3>
  161    0 0xffffff7f9948c000 0x1a000    0x1a000    com.apple.driver.usb.AppleUSBUserHCI (1) AC6A2333-066C-3E92-AB19-7F6052712942 <24 22 7 6 3 1>
  162    0 0xffffff7f994ad000 0x4000     0x4000     com.apple.iokit.IOUserEthernet (1.0.1) 5FE93FD9-EC31-39E8-96B3-6A6B84130BD2 <49 8 7 6 3 1>
  163    0 0xffffff7f9971b000 0x9000     0x9000     com.apple.driver.pmtelemetry (1) 6E9130BD-0902-338F-9BF2-459BD2C1317B <9 8 7 6 3 1>
  164    2 0xffffff7f97b10000 0x1000     0x1000     com.apple.driver.AppleGraphicsControl (6.5.7) 1C272402-B76D-30FF-A172-BA2B096F0A87 <9 7 6 3 1>
  165    0 0xffffff7f97b6a000 0x13000    0x13000    com.apple.driver.AppleMuxControl2 (6.5.7) 2CA6E42D-8D7C-3F87-8793-45B587102ECB <164 120 119 16 15 9 8 7 6 3 1>
  166    0 0xffffff7f97b19000 0x2000     0x2000     com.apple.AGDCPluginDisplayMetrics (6.5.7) C0465A9D-B228-3F35-BBA0-4B982B9988E9 <120 9 8 7 6 3 1>
  167    0 0xffffff7f98859000 0xbf000    0xbf000    com.apple.driver.AppleIntelKBLGraphics (18.0.8) C8A9C530-840E-3364-B10C-BF318790246D <125 119 94 16 9 8 7 6 3 1>
  168    0 0xffffff7f98f8e000 0x1000     0x1000     com.apple.driver.AppleSMBusPCI (1.0.14d1) C0C24D4F-420F-3AD1-9039-AFA08E9524FF <16 7 6 3>
  169    2 0xffffff7f98f41000 0x10000    0x10000    com.apple.driver.AppleOnboardSerial (1.0) 6372A4B4-8283-3BBC-B82F-D72798EC1E96 <74 72 9 7 6 3 1>
  170    1 0xffffff7f98bae000 0x2000     0x2000     com.apple.driver.AppleIntelLpssUARTCommon (3.0.60) 584F2094-EB25-38A0-A817-867249EC9D1A <169 74 16 15 9 7 6 3 1>
  171    0 0xffffff7f98bb5000 0x1000     0x1000     com.apple.driver.AppleIntelLpssUARTv1 (3.0.60) A23126FB-ADB7-3AE0-8850-C73BB2353F8E <170 169 74 16 15 9 7 6 3 1>
  172    0 0xffffff7f97b31000 0xa000     0xa000     com.apple.driver.AppleGraphicsDevicePolicy (6.5.7) 156F3633-C432-33D8-AB23-F5DF5BFBE8B7 <164 120 119 16 15 9 8 7 6 3 1>
  173    1 0xffffff7f997ef000 0xbf000    0xbf000    com.apple.vecLib.kext (1.2.0) 5C258176-730D-39DE-8F27-00EA4F281CAF <12 9 8 7 6 3>
  174    3 0xffffff7f9922c000 0x1e000    0x1e000    com.apple.iokit.IOAudioFamily (340.2) 3E9A6341-0E01-36B0-8E53-7C13421313CF <173 7 6 3 1>
  175    1 0xffffff7f97d88000 0x4000     0x4000     com.apple.iokit.IOHDAFamily (340.2) 056A8084-2888-3BF6-967C-3733B21E05E2 <7 6 3 1>
  176    0 0xffffff7f97c62000 0x13000    0x13000    com.apple.driver.AppleHDAController (340.2) 75873FDA-75A0-392A-A707-90489F6A7DA1 <175 174 119 16 9 8 7 6 3 1>
  177    0 0xffffff7f990c1000 0xa000     0xa000     com.apple.driver.AppleBridgeAudioController (240.6) 8C0B8787-6431-3AE7-BB6D-DC0EAD185493 <16 9 8 7 6 3 1>
  178    1 0xffffff7f97933000 0x1000     0x1000     com.apple.driver.AppleAudioClockLibs (140.1) 29677BD6-71A9-3FFD-BEF8-2434C4CC7225 <9 7 6 3 1>
  179    0 0xffffff7f99023000 0x52000    0x52000    com.apple.driver.AppleUSBAudio (416.2) 3AC0DF16-1B47-3C6B-AE84-C60768F80DC6 <178 174 111 24 23 16 8 7 6 3 1>
  180    0 0xffffff7f97a97000 0x5f000    0x5f000    com.apple.driver.AppleGFXHDA (140.3) 8D809D7A-3816-3571-A7D3-046E80DC1FD3 <174 139 119 16 9 8 7 6 3 1>
  181    0 0xffffff7f81025000 0x3000     0x3000     com.apple.kext.AMDRadeonServiceManager (4.0.8) 3175F0D1-BDD4-3701-A391-9D773194A36B <16 6 3 1>
  182    0 0xffffff7f814d5000 0x4000     0x4000     com.apple.kext.AMDRadeonX4000HWServices (4.0.8) A44614B7-56BF-3385-B09A-0E974518E115 <119 16 15 9 7 6 3 1>
  183    0 0xffffff7f8102b000 0x453000   0x453000   com.apple.kext.AMDRadeonX4000 (4.0.8) 3CDF04E3-4832-32E6-92DC-81C58DB6A8F9 <125 119 94 16 9 7 6 3 1>
  184    1 0xffffff7f997b3000 0x3000     0x3000     com.apple.kext.triggers (1.0) CC27EB71-4735-33AE-BAAA-85538CFF0496 <9 8 7 6 3 1>
  185    0 0xffffff7f9967f000 0x8000     0x8000     com.apple.filesystems.autofs (3.0) 80A4E738-0DF7-3D14-AD48-69EC76708ADB <184 9 8 7 6 3 2 1>
  186    0 0xffffff7f83b4e000 0x14a000   0x14a000   com.apple.kext.AMDRadeonX4100HWLibs (1.0) DEFB8A80-C0B3-3AE9-80DE-E9D718420CFD <16 7 6 3 1>
  187    0 0xffffff7f9909e000 0x3000     0x3000     com.apple.driver.AppleUpstreamUserClient (3.6.9) 29473153-2841-3641-970A-D924F70C0177 <119 16 15 9 7 6 3 1>
  188    1 0xffffff7f993d6000 0x6000     0x6000     com.apple.driver.X86PlatformShim (1.0.0) D7758132-67D4-3593-BEED-DB1DABE5CDC1 <135 133 17 9 6 3>
  189    0 0xffffff7f98f7d000 0x2000     0x2000     com.apple.driver.ApplePlatformEnabler (2.7.0d0) 3F0B19CD-903A-30C3-884C-C5400D930993 <9 7 6 3>
  190    0 0xffffff7f97b88000 0x1e000    0x1e000    com.apple.driver.AGPM (129) B6256F4A-6F2D-30A8-BE59-9308C8D44284 <139 133 120 119 16 8 7 6 3 1>
  191    0 0xffffff7f80ffb000 0x25000    0x25000    com.apple.kext.AMDFramebuffer (4.0.8) 4FE45C76-595B-3707-9D60-71450F77BC0D <144 119 16 15 9 7 6 3 1>
  192    0 0xffffff8001802000 0x5000     0x5000     com.apple.driver.AppleHIDKeyboard (228.2) A881FD63-7957-3E03-A28C-DDEB2A6DEB54 <54 8 7 6 3>
  193    1 0xffffff8002a43000 0x14000    0x14000    com.apple.driver.IOBluetoothHIDDriver (9.0.0) 17FED7FC-E53F-39A4-8724-A1A3876A3D8D <54 46 7 6 3>
  194    1 0xffffff8001bc2000 0x7000     0x7000     com.apple.driver.AppleHSBluetoothDriver (5450.8) A174B4B2-FD3F-3E41-8DC9-D9FD296E0621 <193 54 46 8 7 6 3 1>
  195    2 0xffffff8001870000 0xe000     0xe000     com.apple.driver.AppleInputDeviceSupport (5460.1) E1D3554D-9632-3D0D-9140-1468654F0F45 <39 19 7 6 3 1>
  196    2 0xffffff80019e4000 0x14000    0x14000    com.apple.driver.AppleMultitouchDriver (5460.1) 1E7FF228-804D-3656-922D-461CB504F808 <195 54 45 9 8 7 6 3 1>
  197    0 0xffffff8001bcd000 0x9000     0x9000     com.apple.driver.AppleTopCaseHIDEventDriver (5450.8) E51E68C8-6CC6-30CB-AA5D-D06D487D0CD3 <196 194 54 8 7 6 3 1>
  198    0 0xffffff8001415000 0x7000     0x7000     com.apple.driver.AppleActuatorDriver (5460.1) 408F27AB-0485-3C14-9A55-9BB620F70ADD <196 195 54 45 9 8 7 6 3 1>
  199    0 0xffffff80017ff000 0x1000     0x1000     com.apple.driver.AppleHIDALSService (1) 4F88B227-CA8C-30EE-A2A3-535826770969 <24 6 3>
  200    0 0xffffff7f994b5000 0x7000     0x7000     com.apple.driver.driverkit.serial (6.0.0) 4E14A0D2-771B-3DA2-8FF3-C9F2E555F555 <74 7 6 3 1>
