Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
   38    0 0xffffff8001a92000 0x8000     0x8000     com.apple.driver.AppleSSE (1.0) 18F75F59-BD9D-32BD-81F3-BA50E12E77BD <25 20 19 9 8 7 6 3 1>
   39    5 0xffffff8001cd3000 0x8000     0x8000     com.apple.iokit.CoreAnalyticsFamily (1) 41865250-2C29-3D40-B2A4-0676FF2B2924 <9 8 7 6 3 1>
   40    0 0xffffff8001db9000 0x3000     0x3000     com.apple.Dont_Steal_Mac_OS_X (7.0.0) 4B2B0E9B-8C48-37DC-98B7-9A850963E37F <17 10 9 8 6 3 1>
   41    2 0xffffff80019ad000 0x3000     0x3000     com.apple.kext.AppleMatch (1.0.0d1) 96216F86-24B4-3826-BB31-53EC1F3E19F5 <6 1>
   42    3 0xffffff800349c000 0x50000    0x50000    com.apple.security.sandbox (300.0) 662DF9D2-E03E-3809-A814-152397B6C793 <41 33 31 9 8 7 6 3 2 1>
   43    2 0xffffff8003492000 0x9000     0x9000     com.apple.security.quarantine (4) CC86B877-A51E-31AE-9D7F-3F491F048D12 <42 41 9 8 7 6 3 2 1>
   44    0 0xffffff8001dbf000 0x55000    0x55000    com.apple.iokit.EndpointSecurity (1) 194F22B8-B180-37D1-9A97-2278CD1E6FC5 <43 31 9 8 7 6 3 2 1>
   45   11 0xffffff8002e73000 0x3000     0x3000     com.apple.iokit.IOReportFamily (47) 13547D50-3F54-31F3-ADC4-69ABFE0D5ABA <8 7 6 3>
   46    2 0xffffff8002a01000 0x38000    0x38000    com.apple.iokit.IOBluetoothFamily (9.0.0) 59FD6707-8E3F-3716-A382-A2B2A0B8AF06 <45 24 15 9 8 7 6 3 1>
   47    0 0xffffff8002a7e000 0xc000     0xc000     com.apple.driver.DiskImages (493.0.0) B565701A-C95D-3D70-B7FA-D4105B2B6EAD <33 9 8 7 6 3 1>
   48    0 0xffffff8002b5d000 0x1000     0x1000     com.apple.iokit.IOKitRegistryCompatibility (1) DFCF0197-F608-3D86-AF1D-977763482C6B <6 3>
   49   14 0xffffff8002b97000 0x17000    0x17000    com.apple.iokit.IONetworkingFamily (3.4) 4054DA94-2F8E-35CA-89E5-86BD4BBAF3FF <9 8 7 6 3 1>
   50    3 0xffffff80030dd000 0x1d000    0x1d000    com.apple.iokit.IOTimeSyncFamily (1040.3) 1FE03CBE-377F-3C20-9C5E-FF9E84260364 <49 8 7 6 3 1>
   51    0 0xffffff8001360000 0x8000     0x8000     com.apple.nke.applicationfirewall (402) 41150A4C-6EA7-38F3-A815-6D3B59AB9B16 <9 8 7 6 3 1>
   52    0 0xffffff8001af9000 0xe000     0xe000     com.apple.AppleSystemPolicy (2.0.0) B6BC7D58-55EC-3345-B7B6-F2CB385C3AD4 <43 42 31 9 8 7 6 3 2 1>
   53    0 0xffffff8001411000 0x2000     0x2000     com.apple.driver.AppleAPIC (1.7) D117685C-1F9F-33FA-8C70-8D276FB887BD <16 6 3>
   54   11 0xffffff8002ac9000 0x5d000    0x5d000    com.apple.iokit.IOHIDFamily (2.0.0) F847D524-DF1D-3389-AEDB-9F059F8AB7E9 <45 9 8 7 6 3 2 1>
